adm4_pcode,date,adm1_en,adm2_en,adm3_pcode,adm3_en,adm4_en,brgy_total_area,pr_monthly_total_mm,tave_monthly_mean_c,tmin_monthly_mean_c,tmax_monthly_mean_c,heat_index_monthly_mean_c,heat_index_monthly_max_c,rh_monthly_mean_pct,wind_speed_monthly_mean,solar_rad_monthly_mean,dengue_cases,dengue_deaths,google_bldgs_count,google_bldgs_density,google_bldgs_pct_built_up_area,google_bldgs_area_mean,pop_count_total,pop_density_mean,pr_total_mm_lag_1m,heat_index_mean_lag_1m,tave_mean_lag_1m,pr_total_mm_lag_2m,heat_index_mean_lag_2m,tave_mean_lag_2m,pr_total_mm_lag_3m,heat_index_mean_lag_3m,tave_mean_lag_3m,pr_rolling_3m_avg,brgy_p75_threshold,is_outbreak
PH104305001,2005-09-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,373.64,25.360666666666667,22.494666666666667,28.4,26.832666666666668,28.08,80.235,0.56,217.91566666666668,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,263.37,26.871612903225806,25.30258064516129,293.85,27.074838709677422,25.350645161290323,243.6,27.645333333333333,25.656,310.2866666666667,5.0,0
PH104305001,2005-10-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,264.04,25.47451612903226,22.687741935483867,28.761290322580646,27.440645161290323,29.22,85.49677419354839,0.2783870967741936,214.05193548387095,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,373.64,26.832666666666668,25.360666666666667,263.37,26.871612903225806,25.30258064516129,293.85,27.074838709677422,25.350645161290323,300.34999999999997,5.0,0
PH104305001,2005-11-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,139.82,25.248333333333335,22.461333333333336,28.497666666666664,27.041,28.99,85.46533333333333,0.32733333333333337,197.20666666666665,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,264.04,27.440645161290323,25.47451612903226,373.64,26.832666666666668,25.360666666666667,263.37,26.871612903225806,25.30258064516129,259.16666666666663,5.0,0
PH104305001,2005-12-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,286.43,25.069032258064517,22.70193548387097,28.047096774193548,26.713225806451614,28.16,86.6858064516129,0.327741935483871,154.58354838709678,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,139.82,27.041,25.248333333333335,264.04,27.440645161290323,25.47451612903226,373.64,26.832666666666668,25.360666666666667,230.09666666666666,5.0,0
PH104305001,2006-01-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,129.56,24.943548387096776,22.26806451612903,28.09032258064516,26.379032258064516,28.03,84.09516129032258,0.4645161290322581,188.90225806451613,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,286.43,26.713225806451614,25.069032258064517,139.82,27.041,25.248333333333335,264.04,27.440645161290323,25.47451612903226,185.26999999999998,5.0,0
PH104305001,2006-02-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,69.60000000000001,25.285357142857144,22.370714285714286,28.72392857142857,26.869285714285716,28.2,82.65035714285715,0.6042857142857143,209.55642857142857,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,129.56,26.379032258064516,24.943548387096776,286.43,26.713225806451614,25.069032258064517,139.82,27.041,25.248333333333335,161.86333333333332,5.0,0
PH104305001,2006-03-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,153.86,25.50741935483871,22.250967741935483,29.080967741935485,27.34,29.06,83.29677419354839,0.3832258064516129,239.47354838709677,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,69.60000000000001,26.869285714285716,25.285357142857144,129.56,26.379032258064516,24.943548387096776,286.43,26.713225806451614,25.069032258064517,117.67333333333333,5.0,0
PH104305001,2006-04-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,71.9,25.903000000000002,22.275333333333332,29.67,27.964666666666666,29.61,81.80233333333334,0.21566666666666665,259.1756666666667,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,153.86,27.34,25.50741935483871,69.60000000000001,26.869285714285716,25.285357142857144,129.56,26.379032258064516,24.943548387096776,98.45333333333333,5.0,0
PH104305001,2006-05-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,120.39,25.787419354838708,22.69161290322581,29.285806451612903,28.061935483870965,29.27,85.20451612903226,0.28483870967741937,228.90548387096774,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,71.9,27.964666666666666,25.903000000000002,153.86,27.34,25.50741935483871,69.60000000000001,26.869285714285716,25.285357142857144,115.38333333333333,5.0,0
PH104305001,2006-06-01,Region X,Misamis Oriental,PH104305000,Cagayan de Oro City,Agusan,6.2792,334.81,25.397333333333332,22.679,28.309,27.316333333333333,28.83,86.44833333333332,0.30533333333333335,204.69799999999998,0,0,5753.0,0.0009125252697674,6.537203674033157,71.6386043281766,14855.60546875,2983.784423828125,120.39,28.061935483870965,25.787419354838708,71.9,27.964666666666666,25.903000000000002,153.86,27.34,25.50741935483871,175.69999999999996,5.0,0
